held_out_station,horizon_d,n,RMSE,ubRMSE,MAE,bias,R,R2,RMSE_climatology
TXS01,7,2305,0.051523140604608574,0.04438366775064828,0.04352616901577667,0.026167232462802188,0.6127504525551585,0.021911882530289195,0.06045718364000428
TXS02,7,2304,0.04210916388632759,0.04168027195951571,0.03404206013602515,-0.0059947153882736505,0.7405118549762636,0.5382928986021833,0.05370886535989956
TXS03,7,2304,0.03977159847773183,0.03680725053283853,0.031823294207729676,0.015066730026345423,0.6784648364829474,0.2649752761454546,0.04331691764127241
TXS04,7,2304,0.05640374181022281,0.04481679114241698,0.045157162543963986,-0.0342467125705702,0.7198263421621433,0.20996094205902072,0.06260152692945893
TXS05,7,2304,0.0948057505725336,0.04121692092756186,0.08547707917057526,-0.08537737271006042,0.7751351751027874,-1.258194749877923,0.10024254502974356
TXS06,7,2304,0.07502957542424864,0.03406374115497664,0.0677221023737177,0.06685131806381804,0.6875342952717652,-4.829761548091589,0.0819657498532957
