horizon_d,model,n,RMSE,ubRMSE,MAE,bias,R,R2
1,persistence,3649,0.017647683278647474,0.017647682254018932,0.008709431586146394,-6.013704255390468e-06,0.9649573162544892,0.9299310575540105
1,climatology,3649,0.06643686868860707,0.06590498002155847,0.054195767900980095,-0.00838994216340006,0.2585037209307779,0.006956047538971277
1,SVR,3649,0.0711152785893267,0.07054720187767581,0.05096627608341627,0.00897079461742403,0.6025412658958758,-0.13782636373204027
1,XGBoost,3649,0.04866022530152684,0.04863499075352924,0.038454341647311346,0.0015669080379776084,0.7024369228949785,0.46728074844903644
