Date,SWC_5,SWC_10,SWC_20,SWC_50,T_5,T_10,T_20,T_50,Tair,RH,Srad,wind,Ppt,qc_good_frac,Station_ID,SMAP_raw,SMAP_ff,days_since_smap
2015-01-01,0.14170833333333335,0.17779166666666665,0.148,0.15154166666666666,3.422083333333333,4.55375,5.6000000000000005,10.050833333333333,-0.20670833333333336,95.78333333333335,17.71375,1.0882916666666667,0.762,0.0,TXS01,,,0
2015-01-02,0.15929166666666666,0.18058333333333332,0.148,0.151,3.9225,4.8237499999999995,5.6525,9.451666666666666,1.2054166666666666,99.875,15.991666666666667,1.43225,6.35,0.5833333333333334,TXS01,,,1
2015-01-03,0.17975,0.21116666666666664,0.16704166666666667,0.15075,6.872916666666666,7.0,7.105416666666667,9.265,7.222916666666666,70.19041666666666,165.6916666666667,1.4801250000000001,0.762,0.75,TXS01,,,2
2015-01-04,0.16470833333333335,0.2048333333333333,0.17279166666666665,0.151,5.6554166666666665,6.8175,7.554166666666667,9.875,4.291291666666667,63.35125,168.6875,1.9393333333333331,0.0,1.0,TXS01,,,3
2015-01-05,0.15266666666666667,0.19929166666666667,0.1691666666666667,0.15095833333333333,4.699166666666667,5.675416666666667,6.43,9.552083333333334,3.2002916666666668,59.47708333333333,167.00791666666666,0.913125,0.0,0.9583333333333334,TXS01,,,4
2015-01-06,0.15325,0.19883333333333333,0.16808333333333336,0.15108333333333332,9.1225,8.85125,8.650416666666667,9.641666666666667,12.017166666666668,50.84458333333333,163.11083333333335,1.4582916666666668,0.0,1.0,TXS01,,,5
2015-01-07,0.14945833333333333,0.19620833333333335,0.166875,0.15208333333333332,8.279166666666667,9.286666666666667,9.799166666666666,10.754583333333334,4.701625,59.822916666666664,151.01375,2.7664166666666667,0.0,1.0,TXS01,,,6
2015-01-08,0.14270833333333333,0.19041666666666668,0.1625,0.15233333333333332,3.310833333333333,4.900416666666667,6.2179166666666665,10.192083333333334,-2.5079166666666666,50.68625,64.71,1.5129583333333334,0.0,0.8333333333333334,TXS01,,,7
2015-01-09,0.14391666666666666,0.1895,0.16083333333333336,0.152,4.0825000000000005,5.056666666666667,5.8675,9.174583333333333,1.3050416666666667,62.39958333333333,25.537499999999998,1.9120416666666669,0.0,1.0,TXS01,,,8
2015-01-10,0.17316666666666666,0.197375,0.160625,0.152,2.6929166666666666,3.7358333333333333,4.678333333333334,8.522083333333333,-1.2642083333333334,90.67416666666666,26.504166666666666,0.658,1.27,1.0,TXS01,,,9
2015-01-11,0.19329166666666667,0.22466666666666668,0.1955416666666667,0.152,6.789583333333333,6.454166666666667,6.303333333333334,8.1175,6.089916666666666,88.87333333333333,131.62708333333333,0.7496666666666667,3.302,1.0,TXS01,,,10
2015-01-12,0.18170833333333333,0.21645833333333334,0.19008333333333335,0.15558333333333332,5.659166666666667,6.551666666666667,7.1812499999999995,8.997916666666667,4.260916666666667,97.71249999999999,28.155416666666667,1.5572083333333333,0.0,1.0,TXS01,,,11
2015-01-13,0.17675,0.21220833333333333,0.185625,0.16295833333333334,3.7733333333333334,4.793333333333334,5.624583333333334,8.6325,0.16504166666666667,94.56666666666666,35.093333333333334,1.6374583333333332,0.0,1.0,TXS01,,,12
2015-01-14,0.17775,0.21133333333333335,0.18329166666666666,0.167125,4.051666666666667,4.739583333333333,5.3525,8.131666666666666,1.31875,98.4875,23.467916666666667,0.9673333333333334,0.508,1.0,TXS01,,,13
2015-01-15,0.174875,0.21220833333333333,0.18470833333333334,0.169125,6.34375,6.515416666666667,6.565833333333334,8.055833333333334,5.271916666666667,78.60333333333334,168.36166666666665,1.4884166666666667,0.0,1.0,TXS01,,,14
2015-01-16,0.16708333333333333,0.20808333333333331,0.18116666666666667,0.1711666666666667,7.131666666666667,7.3975,7.541666666666667,8.699583333333333,7.981208333333334,67.21458333333332,171.51208333333332,0.8392083333333332,0.0,1.0,TXS01,,,15
2015-01-17,0.16158333333333333,0.20541666666666666,0.17866666666666667,0.17200000000000001,8.800416666666667,8.915000000000001,8.941666666666666,9.4425,12.104041666666667,52.67541666666667,109.58708333333334,2.07175,0.0,1.0,TXS01,,,16
2015-01-18,0.15720833333333334,0.20304166666666668,0.17604166666666665,0.17200000000000001,9.760833333333332,9.85375,9.77625,9.989583333333334,11.783541666666666,39.29916666666667,189.86708333333334,1.1307916666666666,0.0,1.0,TXS01,,,17
2015-01-19,0.15420833333333334,0.20166666666666666,0.17429166666666665,0.17212499999999997,11.707916666666668,11.424166666666666,11.10375,10.705,14.519166666666665,40.762499999999996,178.11166666666668,2.092125,0.0,1.0,TXS01,,,18
2015-01-20,0.15116666666666667,0.2001666666666667,0.17266666666666666,0.17220833333333332,12.817916666666667,12.604166666666666,12.285833333333334,11.566249999999998,15.566875000000001,44.724583333333335,181.55375,0.8493333333333334,0.0,1.0,TXS01,,,19
2015-01-21,0.14916666666666667,0.19720833333333335,0.17054166666666667,0.17212499999999997,10.900416666666667,11.657499999999999,12.1175,12.41375,8.758958333333334,86.74791666666665,34.403749999999995,1.5352083333333333,1.778,1.0,TXS01,,,20
2015-01-22,0.20191666666666666,0.22983333333333333,0.19533333333333333,0.17895833333333333,7.903333333333333,9.0275,9.865416666666667,11.887916666666667,5.238875,99.17083333333333,13.317083333333334,2.8465833333333332,24.892,1.0,TXS01,,,21
2015-01-23,0.20341666666666666,0.23695833333333335,0.20837499999999998,0.2147916666666667,5.632083333333333,6.611249999999999,7.43875,10.54125,3.2258750000000003,90.02291666666667,63.34583333333333,2.355583333333333,8.636,1.0,TXS01,,,22
2015-01-24,0.18629166666666666,0.22483333333333333,0.19775,0.21408333333333332,6.515833333333333,6.932916666666666,7.292083333333333,9.627083333333333,7.61975,58.61333333333334,172.2875,1.3114583333333334,0.0,1.0,TXS01,,,23
2015-01-25,0.17495833333333333,0.21762499999999999,0.1905416666666667,0.20795833333333333,9.136666666666667,9.361666666666666,9.392083333333334,10.05625,12.26775,41.42583333333334,186.13708333333332,1.98125,0.0,1.0,TXS01,,,24
2015-01-26,0.166125,0.2117083333333333,0.18475,0.20274999999999999,9.93625,10.0375,10.074583333333333,10.657916666666667,13.171875,41.15208333333333,146.84416666666667,1.0020416666666667,0.0,1.0,TXS01,,,25
2015-01-27,0.16254166666666667,0.20979166666666668,0.18179166666666666,0.19829166666666667,12.761249999999999,12.335416666666667,11.869583333333333,11.245,17.529583333333335,35.6625,193.47208333333333,1.0020416666666667,0.0,1.0,TXS01,,,26
2015-01-28,0.15908333333333333,0.20758333333333331,0.17937499999999998,0.19525,14.475,14.093333333333334,13.635416666666666,12.367083333333333,18.318749999999998,35.169583333333335,191.1329166666667,1.9744166666666667,0.0,1.0,TXS01,,,27
2015-01-29,0.15562499999999999,0.2060833333333333,0.17791666666666664,0.19287500000000002,16.427083333333332,16.0225,15.443333333333333,13.485833333333334,16.76625,52.109583333333326,184.33375,2.4443333333333332,0.0,1.0,TXS01,,,28
2015-01-30,0.15133333333333332,0.202125,0.17466666666666666,0.1905416666666667,14.15875,14.574166666666665,14.73375,14.264166666666666,9.546666666666667,57.01791666666667,128.14958333333334,2.0057916666666666,0.0,1.0,TXS01,,,29
