Station_ID,Date,Latitude,Longitude,SMAP_Moisture
TXS03,2015-04-03,30.29815,-98.74201,0.1512753
TXS03,2015-04-06,30.29815,-98.74201,0.1358431
TXS03,2015-04-08,30.29815,-98.74201,0.128561
TXS03,2015-04-11,30.29815,-98.74201,0.1960879
TXS03,2015-04-14,30.29815,-98.74201,0.2042245
TXS03,2015-04-16,30.29815,-98.74201,0.1553992
TXS03,2015-04-19,30.29815,-98.74201,0.326136
TXS03,2015-04-22,30.29815,-98.74201,0.2038417
TXS03,2015-04-24,30.29815,-98.74201,0.3676324
TXS03,2015-04-27,30.29815,-98.74201,0.3173058
TXS03,2015-05-05,30.29815,-98.74201,0.1395193
TXS03,2015-05-08,30.29815,-98.74201,0.1990233
TXS03,2015-05-10,30.29815,-98.74201,0.2137535
TXS03,2015-05-16,30.29815,-98.74201,0.3015436
TXS03,2015-05-18,30.29815,-98.74201,0.2956247
TXS03,2015-05-21,30.29815,-98.74201,0.3169371
TXS03,2015-05-24,30.29815,-98.74201,0.3988704
TXS03,2015-05-26,30.29815,-98.74201,0.336717
TXS03,2015-05-29,30.29815,-98.74201,0.4192351
TXS03,2015-06-01,30.29815,-98.74201,0.2765283
TXS03,2015-06-03,30.29815,-98.74201,0.2444889
TXS03,2015-06-06,30.29815,-98.74201,0.1709987
TXS03,2015-06-09,30.29815,-98.74201,0.1449554
TXS03,2015-06-11,30.29815,-98.74201,0.1378524
TXS03,2015-06-14,30.29815,-98.74201,0.1542427
TXS03,2015-06-19,30.29815,-98.74201,0.2674725
TXS03,2015-06-25,30.29815,-98.74201,0.1908384
TXS03,2015-06-27,30.29815,-98.74201,0.181014
TXS03,2015-06-30,30.29815,-98.74201,0.1792623
TXS03,2015-07-03,30.29815,-98.74201,0.1750126
TXS03,2015-07-05,30.29815,-98.74201,0.1359423
TXS03,2015-07-08,30.29815,-98.74201,0.1290732
TXS03,2015-07-11,30.29815,-98.74201,0.1127689
TXS03,2015-07-13,30.29815,-98.74201,0.1154072
TXS03,2015-07-16,30.29815,-98.74201,0.1175666
TXS03,2015-07-19,30.29815,-98.74201,0.1027795
TXS03,2015-07-21,30.29815,-98.74201,0.1022641
TXS03,2015-07-22,30.29815,-98.74201,0.1042557
TXS03,2015-07-24,30.29815,-98.74201,0.1053657
TXS03,2015-07-29,30.29815,-98.74201,0.1152015
TXS03,2015-07-30,30.29815,-98.74201,0.1070493
TXS03,2015-08-01,30.29815,-98.74201,0.1899896
TXS03,2015-08-04,30.29815,-98.74201,0.1125899
TXS03,2015-08-06,30.29815,-98.74201,0.1208765
TXS03,2015-08-07,30.29815,-98.74201,0.1120627
TXS03,2015-08-09,30.29815,-98.74201,0.1277321
TXS03,2015-08-14,30.29815,-98.74201,0.137144
TXS03,2015-08-17,30.29815,-98.74201,0.1387971
TXS03,2015-08-20,30.29815,-98.74201,0.1133693
TXS03,2015-08-22,30.29815,-98.74201,0.1199902
TXS03,2015-08-25,30.29815,-98.74201,0.1251126
TXS03,2015-08-28,30.29815,-98.74201,0.1234641
TXS03,2015-08-30,30.29815,-98.74201,0.1028648
TXS03,2015-09-02,30.29815,-98.74201,0.1323088
TXS03,2015-09-05,30.29815,-98.74201,0.1184573
TXS03,2015-09-07,30.29815,-98.74201,0.1152985
TXS03,2015-09-10,30.29815,-98.74201,0.14784
TXS03,2015-09-13,30.29815,-98.74201,0.1533256
TXS03,2015-09-15,30.29815,-98.74201,0.129102
TXS03,2015-09-18,30.29815,-98.74201,0.1397377
TXS03,2015-09-21,30.29815,-98.74201,0.1126875
TXS03,2015-09-23,30.29815,-98.74201,0.1382829
TXS03,2015-09-26,30.29815,-98.74201,0.1176287
TXS03,2015-09-29,30.29815,-98.74201,0.1214516
TXS03,2015-10-01,30.29815,-98.74201,0.1337935
TXS03,2015-10-04,30.29815,-98.74201,0.1194273
TXS03,2015-10-07,30.29815,-98.74201,0.1242428
TXS03,2015-10-09,30.29815,-98.74201,0.1549142
TXS03,2015-10-12,30.29815,-98.74201,0.1248348
TXS03,2015-10-15,30.29815,-98.74201,0.1249916
TXS03,2015-10-17,30.29815,-98.74201,0.1256305
TXS03,2015-10-20,30.29815,-98.74201,0.1136575
TXS03,2015-10-28,30.29815,-98.74201,0.2425288
TXS03,2015-10-31,30.29815,-98.74201,0.3475448
TXS03,2015-11-02,30.29815,-98.74201,0.3461282
TXS03,2015-11-05,30.29815,-98.74201,0.2928355
TXS03,2015-11-08,30.29815,-98.74201,0.2724654
TXS03,2015-11-10,30.29815,-98.74201,0.2796212
TXS03,2015-11-13,30.29815,-98.74201,0.2568225
TXS03,2015-11-16,30.29815,-98.74201,0.2305698
TXS03,2015-11-18,30.29815,-98.74201,0.2982399
TXS03,2015-11-21,30.29815,-98.74201,0.2175538
TXS03,2015-11-24,30.29815,-98.74201,0.2011228
TXS03,2015-11-26,30.29815,-98.74201,0.2130403
TXS03,2015-11-29,30.29815,-98.74201,0.309124
TXS03,2015-12-02,30.29815,-98.74201,0.2937806
TXS03,2015-12-04,30.29815,-98.74201,0.2463242
TXS03,2015-12-07,30.29815,-98.74201,0.2524852
TXS03,2015-12-10,30.29815,-98.74201,0.231362
TXS03,2015-12-12,30.29815,-98.74201,0.2083988
TXS03,2015-12-18,30.29815,-98.74201,0.279651
TXS03,2015-12-20,30.29815,-98.74201,0.2352235
TXS03,2015-12-23,30.29815,-98.74201,0.2331669
TXS03,2015-12-26,30.29815,-98.74201,0.2231039
TXS03,2015-12-28,30.29815,-98.74201,0.3128266
TXS03,2015-12-31,30.29815,-98.74201,0.2832464
TXS03,2016-01-03,30.29815,-98.74201,0.2941979
TXS03,2016-01-05,30.29815,-98.74201,0.2894667
TXS03,2016-01-06,30.29815,-98.74201,0.2799146
TXS03,2016-01-08,30.29815,-98.74201,0.2952495
TXS03,2016-01-11,30.29815,-98.74201,0.2778396
TXS03,2016-01-13,30.29815,-98.74201,0.2492392
TXS03,2016-01-16,30.29815,-98.74201,0.2612717
TXS03,2016-01-19,30.29815,-98.74201,0.1838794
TXS03,2016-01-21,30.29815,-98.74201,0.1941343
TXS03,2016-01-24,30.29815,-98.74201,0.2041542
TXS03,2016-01-27,30.29815,-98.74201,0.2017921
TXS03,2016-01-29,30.29815,-98.74201,0.2044016
TXS03,2016-02-01,30.29815,-98.74201,0.1826406
TXS03,2016-02-04,30.29815,-98.74201,0.1646633
TXS03,2016-02-06,30.29815,-98.74201,0.1677417
TXS03,2016-02-09,30.29815,-98.74201,0.1655746
TXS03,2016-02-12,30.29815,-98.74201,0.1562546
TXS03,2016-02-14,30.29815,-98.74201,0.1323221
TXS03,2016-02-17,30.29815,-98.74201,0.158686
TXS03,2016-02-20,30.29815,-98.74201,0.1121874
TXS03,2016-02-22,30.29815,-98.74201,0.1648809
TXS03,2016-02-25,30.29815,-98.74201,0.2642253
TXS03,2016-02-28,30.29815,-98.74201,0.2152026
TXS03,2016-03-01,30.29815,-98.74201,0.2179596
TXS03,2016-03-04,30.29815,-98.74201,0.1796162
TXS03,2016-03-07,30.29815,-98.74201,0.1402145
TXS03,2016-03-09,30.29815,-98.74201,0.3114705
TXS03,2016-03-12,30.29815,-98.74201,0.3469737
TXS03,2016-03-15,30.29815,-98.74201,0.247039
TXS03,2016-03-17,30.29815,-98.74201,0.2205569
TXS03,2016-03-20,30.29815,-98.74201,0.2561634
TXS03,2016-03-23,30.29815,-98.74201,0.1917148
TXS03,2016-03-25,30.29815,-98.74201,0.2172211
TXS03,2016-03-28,30.29815,-98.74201,0.1839121
TXS03,2016-03-31,30.29815,-98.74201,0.1738078
TXS03,2016-04-02,30.29815,-98.74201,0.275762
TXS03,2016-04-05,30.29815,-98.74201,0.1899547
TXS03,2016-04-08,30.29815,-98.74201,0.1557711
TXS03,2016-04-10,30.29815,-98.74201,0.1489215
TXS03,2016-04-13,30.29815,-98.74201,0.2886838
TXS03,2016-04-16,30.29815,-98.74201,0.210322
TXS03,2016-04-18,30.29815,-98.74201,0.3250207
TXS03,2016-04-21,30.29815,-98.74201,0.3551045
TXS03,2016-04-24,30.29815,-98.74201,0.2230031
TXS03,2016-04-26,30.29815,-98.74201,0.2029556
TXS03,2016-04-29,30.29815,-98.74201,0.2220446
TXS03,2016-05-04,30.29815,-98.74201,0.2113548
TXS03,2016-05-07,30.29815,-98.74201,0.1607951
TXS03,2016-05-10,30.29815,-98.74201,0.1399844
TXS03,2016-05-12,30.29815,-98.74201,0.1715645
TXS03,2016-05-15,30.29815,-98.74201,0.1935247
TXS03,2016-05-18,30.29815,-98.74201,0.3068946
TXS03,2016-05-20,30.29815,-98.74201,0.2969485
TXS03,2016-05-23,30.29815,-98.74201,0.2535533
TXS03,2016-05-26,30.29815,-98.74201,0.2268178
TXS03,2016-05-28,30.29815,-98.74201,0.2765378
