Station_ID,Latitude,Longitude,Date,DAYMET_Region,DAYMET_004_Line_Y_1000,DAYMET_004_Sample_X_1000,Precipitation,T_Max,T_Min,SMAP_Moisture
TXS01,30.42047,-98.80332,2015-05-17,na,6272.0,4673.0,0.0,27.7800007,17.4799995,0.2663379
TXS01,30.42047,-98.80332,2015-05-18,na,6272.0,4673.0,0.0,30.5200005,19.7800007,0.2833717
TXS01,30.42047,-98.80332,2015-05-19,na,6272.0,4673.0,0.0,29.2700005,21.5699997,0.3144139
TXS01,30.42047,-98.80332,2015-05-20,na,6272.0,4673.0,36.6800003,30.2199993,19.7199993,0.3454561
TXS01,30.42047,-98.80332,2015-05-21,na,6272.0,4673.0,2.0,19.6599998,14.79,0.3764983
TXS01,30.42047,-98.80332,2015-05-22,na,6272.0,4673.0,4.4200001,24.2299995,14.9799995,0.373442
TXS01,30.42047,-98.80332,2015-05-23,na,6272.0,4673.0,25.8899994,25.8700008,17.0900002,0.3703857
TXS01,30.42047,-98.80332,2015-05-24,na,6272.0,4673.0,0.0,26.7800007,15.5500002,0.3673294
TXS01,30.42047,-98.80332,2015-05-25,na,6272.0,4673.0,41.0699997,25.2000008,16.3799992,0.33662844999999997
TXS01,30.42047,-98.80332,2015-05-26,na,6272.0,4673.0,2.8,30.3099995,15.9099998,0.3059275
TXS01,30.42047,-98.80332,2015-05-27,na,6272.0,4673.0,9.1599998,29.3199997,20.3999996,0.3289920333333333
TXS01,30.42047,-98.80332,2015-05-28,na,6272.0,4673.0,40.7700005,29.8099995,19.4400005,0.3520565666666667
TXS01,30.42047,-98.80332,2015-05-29,na,6272.0,4673.0,3.02,29.8400002,15.6400003,0.3751211
TXS01,30.42047,-98.80332,2015-05-30,na,6272.0,4673.0,0.0,27.5400009,16.9699993,0.3386125333333333
TXS01,30.42047,-98.80332,2015-05-31,na,6272.0,4673.0,0.0,28.2199993,16.2600002,0.30210396666666667
TXS01,30.42047,-98.80332,2015-06-01,na,6272.0,4673.0,0.0,30.1599998,14.7399998,0.2655954
TXS01,30.42047,-98.80332,2015-06-02,na,6272.0,4673.0,0.0,30.2099991,17.3799992,0.24304815
TXS01,30.42047,-98.80332,2015-06-03,na,6272.0,4673.0,0.0,30.3099995,18.5200005,0.2205009
TXS01,30.42047,-98.80332,2015-06-04,na,6272.0,4673.0,0.0,30.9300003,18.7600002,0.20290786666666666
TXS01,30.42047,-98.80332,2015-06-05,na,6272.0,4673.0,0.0,30.6599998,19.3700008,0.18531483333333335
TXS01,30.42047,-98.80332,2015-06-06,na,6272.0,4673.0,0.0,30.9599991,18.6499996,0.1677218
TXS01,30.42047,-98.80332,2015-06-07,na,6272.0,4673.0,0.0,31.6399994,17.3600006,0.1585936
TXS01,30.42047,-98.80332,2015-06-08,na,6272.0,4673.0,0.0,32.5600014,18.5300007,0.1494654
TXS01,30.42047,-98.80332,2015-06-09,na,6272.0,4673.0,0.0,33.2700005,18.6299992,0.1403372
TXS01,30.42047,-98.80332,2015-06-10,na,6272.0,4673.0,0.0,33.0299988,18.6499996,0.13219065
TXS01,30.42047,-98.80332,2015-06-11,na,6272.0,4673.0,0.0,32.4700012,20.7900009,0.1240441
TXS01,30.42047,-98.80332,2015-06-12,na,6272.0,4673.0,0.0,32.6599998,22.0200005,0.1244538
TXS01,30.42047,-98.80332,2015-06-13,na,6272.0,4673.0,0.0,32.7299995,22.5599995,0.1248635
TXS01,30.42047,-98.80332,2015-06-14,na,6272.0,4673.0,0.0,30.6499996,21.2900009,0.1252732
TXS01,30.42047,-98.80332,2015-06-15,na,6272.0,4673.0,16.2000008,31.1900005,21.3700008,0.14819564
TXS01,30.42047,-98.80332,2015-06-16,na,6272.0,4673.0,7.6100001,27.7800007,21.1900005,0.17111808
TXS01,30.42047,-98.80332,2015-06-17,na,6272.0,4673.0,22.6399994,31.5599995,21.0200005,0.19404052
TXS01,30.42047,-98.80332,2015-06-18,na,6272.0,4673.0,14.5100002,32.2000008,21.25,0.21696295999999998
TXS01,30.42047,-98.80332,2015-06-19,na,6272.0,4673.0,0.0,27.8700008,20.6599998,0.2398854
TXS01,30.42047,-98.80332,2015-06-20,na,6272.0,4673.0,4.6100001,27.8400002,20.9799995,0.2290898
TXS01,30.42047,-98.80332,2015-06-21,na,6272.0,4673.0,12.4399996,28.7999992,21.0400009,0.2182942
TXS01,30.42047,-98.80332,2015-06-22,na,6272.0,4673.0,2.99,29.6399994,20.6000004,0.2074986
TXS01,30.42047,-98.80332,2015-06-23,na,6272.0,4673.0,0.0,30.8700008,21.4099998,0.19670300000000002
TXS01,30.42047,-98.80332,2015-06-24,na,6272.0,4673.0,0.0,31.5100002,21.3899994,0.1859074
TXS01,30.42047,-98.80332,2015-06-25,na,6272.0,4673.0,0.0,31.9099998,21.3199997,0.1751118
TXS01,30.42047,-98.80332,2015-06-26,na,6272.0,4673.0,0.0,32.7799988,22.7099991,0.1682052
TXS01,30.42047,-98.80332,2015-06-27,na,6272.0,4673.0,3.6600001,30.5699997,21.6200008,0.1612986
TXS01,30.42047,-98.80332,2015-06-28,na,6272.0,4673.0,2.53,31.3099995,19.6000004,0.180544
TXS01,30.42047,-98.80332,2015-06-29,na,6272.0,4673.0,0.0,31.8600006,21.3199997,0.18019000000000002
TXS01,30.42047,-98.80332,2015-06-30,na,6272.0,4673.0,0.0,32.1699982,22.1200008,0.179836
TXS01,30.42047,-98.80332,2015-07-01,na,6272.0,4673.0,0.0,31.1399994,20.1299992,0.16371123333333332
TXS01,30.42047,-98.80332,2015-07-02,na,6272.0,4673.0,0.0,30.8099995,19.1800003,0.14758646666666667
TXS01,30.42047,-98.80332,2015-07-03,na,6272.0,4673.0,0.0,31.3799992,21.4099998,0.1314617
TXS01,30.42047,-98.80332,2015-07-04,na,6272.0,4673.0,0.0,31.6399994,21.6599998,0.1302683
TXS01,30.42047,-98.80332,2015-07-05,na,6272.0,4673.0,0.0,31.2900009,21.9799995,0.1290749
TXS01,30.42047,-98.80332,2015-07-06,na,6272.0,4673.0,0.0,31.4300003,22.8600006,0.109164
TXS01,30.42047,-98.80332,2015-07-07,na,6272.0,4673.0,0.0,30.1100006,23.3400002,0.11456659999999999
TXS01,30.42047,-98.80332,2015-07-08,na,6272.0,4673.0,0.0,31.0300007,23.1599998,0.1199692
TXS01,30.42047,-98.80332,2015-07-09,na,6272.0,4673.0,0.0,32.1399994,22.1100006,0.1159118
TXS01,30.42047,-98.80332,2015-07-10,na,6272.0,4673.0,0.0,32.3499985,21.1299992,0.1118544
TXS01,30.42047,-98.80332,2015-07-11,na,6272.0,4673.0,0.0,33.2200012,20.4300003,0.107797
TXS01,30.42047,-98.80332,2015-07-12,na,6272.0,4673.0,0.0,33.9399986,20.0900002,0.100096
TXS01,30.42047,-98.80332,2015-07-13,na,6272.0,4673.0,0.0,34.8899994,21.7600002,0.092395
TXS01,30.42047,-98.80332,2015-07-14,na,6272.0,4673.0,0.0,35.5,20.9799995,0.0893473
TXS01,30.42047,-98.80332,2015-07-15,na,6272.0,4673.0,0.0,34.4799995,20.5699997,0.0893647
TXS01,30.42047,-98.80332,2015-07-16,na,6272.0,4673.0,0.0,34.5,20.75,0.0893821
TXS01,30.42047,-98.80332,2015-07-17,na,6272.0,4673.0,0.0,34.1500015,21.8099995,0.08961216666666667
TXS01,30.42047,-98.80332,2015-07-18,na,6272.0,4673.0,0.0,34.6599998,22.4500008,0.08984223333333333
TXS01,30.42047,-98.80332,2015-07-19,na,6272.0,4673.0,0.0,34.9199982,22.1100006,0.0900723
TXS01,30.42047,-98.80332,2015-07-20,na,6272.0,4673.0,0.0,35.6699982,22.2900009,0.09461615
TXS01,30.42047,-98.80332,2015-07-21,na,6272.0,4673.0,0.0,35.5099983,22.5400009,0.09916
TXS01,30.42047,-98.80332,2015-07-22,na,6272.0,4673.0,0.0,34.8300018,23.0100002,0.0865353
TXS01,30.42047,-98.80332,2015-07-23,na,6272.0,4673.0,0.0,35.25,22.0200005,0.08634349999999999
TXS01,30.42047,-98.80332,2015-07-24,na,6272.0,4673.0,0.0,34.5999985,22.1900005,0.0861517
TXS01,30.42047,-98.80332,2015-07-25,na,6272.0,4673.0,0.0,35.7700005,20.8999996,0.08808194
TXS01,30.42047,-98.80332,2015-07-26,na,6272.0,4673.0,0.0,36.4199982,22.8099995,0.09001218
TXS01,30.42047,-98.80332,2015-07-27,na,6272.0,4673.0,0.0,35.8400002,22.4799995,0.09194242
TXS01,30.42047,-98.80332,2015-07-28,na,6272.0,4673.0,0.0,35.5200005,22.8199997,0.09387266
TXS01,30.42047,-98.80332,2015-07-29,na,6272.0,4673.0,0.0,36.7000008,21.2800007,0.0958029
TXS01,30.42047,-98.80332,2015-07-30,na,6272.0,4673.0,0.0,36.8600006,21.0,0.0859307
TXS01,30.42047,-98.80332,2015-07-31,na,6272.0,4673.0,20.2999992,36.6899986,21.7299995,0.12417855
TXS01,30.42047,-98.80332,2015-08-01,na,6272.0,4673.0,0.0,34.5200005,21.3700008,0.1624264
TXS01,30.42047,-98.80332,2015-08-02,na,6272.0,4673.0,0.0,35.4900017,21.4300003,0.1456878
TXS01,30.42047,-98.80332,2015-08-03,na,6272.0,4673.0,0.0,35.3600006,20.3799992,0.12894919999999999
TXS01,30.42047,-98.80332,2015-08-04,na,6272.0,4673.0,0.0,35.6800003,22.2299995,0.1122106
TXS01,30.42047,-98.80332,2015-08-05,na,6272.0,4673.0,0.0,36.4099998,23.4599991,0.11433289999999999
TXS01,30.42047,-98.80332,2015-08-06,na,6272.0,4673.0,0.0,36.6899986,22.8600006,0.1164552
TXS01,30.42047,-98.80332,2015-08-07,na,6272.0,4673.0,0.0,37.0,22.1499996,0.0993444
TXS01,30.42047,-98.80332,2015-08-08,na,6272.0,4673.0,0.0,36.6800003,22.6599998,0.10923165
