ID,Latitude,Longitude,Date,DAYMET_Region,DAYMET_004_Line_Y_1000,DAYMET_004_Sample_X_1000,DAYMET_004_prcp,DAYMET_004_tmax,DAYMET_004_tmin
TXS01,30.42047,-98.80332,2015-04-01,na,6272.0,4673.0,0.0,26.5900002,17.1499996
TXS01,30.42047,-98.80332,2015-04-02,na,6272.0,4673.0,0.0,30.0300007,18.4099998
TXS01,30.42047,-98.80332,2015-04-03,na,6272.0,4673.0,0.0,27.6000004,18.0499992
TXS01,30.42047,-98.80332,2015-04-04,na,6272.0,4673.0,0.0,16.75,10.6499996
TXS01,30.42047,-98.80332,2015-04-05,na,6272.0,4673.0,0.0,21.0799999,11.6300001
TXS01,30.42047,-98.80332,2015-04-06,na,6272.0,4673.0,0.0,26.3899994,14.8599997
TXS01,30.42047,-98.80332,2015-04-07,na,6272.0,4673.0,0.0,29.1200008,18.0900002
TXS01,30.42047,-98.80332,2015-04-08,na,6272.0,4673.0,0.0,23.1399994,17.9599991
TXS01,30.42047,-98.80332,2015-04-09,na,6272.0,4673.0,2.4000001,29.3799992,18.0100002
TXS01,30.42047,-98.80332,2015-04-10,na,6272.0,4673.0,2.47,23.5300007,13.1999998
TXS01,30.42047,-98.80332,2015-04-11,na,6272.0,4673.0,0.0,20.1800003,12.6199999
TXS01,30.42047,-98.80332,2015-04-12,na,6272.0,4673.0,0.58,25.9500008,16.0300007
TXS01,30.42047,-98.80332,2015-04-13,na,6272.0,4673.0,0.0,28.1000004,14.0100002
TXS01,30.42047,-98.80332,2015-04-14,na,6272.0,4673.0,0.0,21.9799995,11.2600002
TXS01,30.42047,-98.80332,2015-04-15,na,6272.0,4673.0,0.0,26.4699993,7.0100002
TXS01,30.42047,-98.80332,2015-04-16,na,6272.0,4673.0,7.5100002,25.0200005,13.5200005
TXS01,30.42047,-98.80332,2015-04-17,na,6272.0,4673.0,28.9200001,20.3400002,13.9899998
TXS01,30.42047,-98.80332,2015-04-18,na,6272.0,4673.0,33.9500008,25.4599991,13.9499998
TXS01,30.42047,-98.80332,2015-04-19,na,6272.0,4673.0,0.0,28.4500008,14.2299995
TXS01,30.42047,-98.80332,2015-04-20,na,6272.0,4673.0,0.0,20.8099995,9.4799995
TXS01,30.42047,-98.80332,2015-04-21,na,6272.0,4673.0,0.0,23.9200001,7.4299998
TXS01,30.42047,-98.80332,2015-04-22,na,6272.0,4673.0,0.0,25.7399998,14.2700005
TXS01,30.42047,-98.80332,2015-04-23,na,6272.0,4673.0,9.3299999,29.2800007,18.8500004
TXS01,30.42047,-98.80332,2015-04-24,na,6272.0,4673.0,0.0,26.4200001,17.6499996
TXS01,30.42047,-98.80332,2015-04-25,na,6272.0,4673.0,0.0,31.3099995,17.4699993
TXS01,30.42047,-98.80332,2015-04-26,na,6272.0,4673.0,13.0100002,30.5799999,14.9399996
TXS01,30.42047,-98.80332,2015-04-27,na,6272.0,4673.0,0.0,26.2999992,14.4899998
TXS01,30.42047,-98.80332,2015-04-28,na,6272.0,4673.0,0.0,14.9099998,9.4899998
TXS01,30.42047,-98.80332,2015-04-29,na,6272.0,4673.0,0.0,22.9599991,6.8000002
TXS01,30.42047,-98.80332,2015-04-30,na,6272.0,4673.0,0.0,26.7700005,5.9499998
TXS01,30.42047,-98.80332,2015-05-01,na,6272.0,4673.0,0.0,27.1900005,7.98
TXS01,30.42047,-98.80332,2015-05-02,na,6272.0,4673.0,0.0,26.4699993,10.4200001
TXS01,30.42047,-98.80332,2015-05-03,na,6272.0,4673.0,0.0,26.9500008,12.6300001
TXS01,30.42047,-98.80332,2015-05-04,na,6272.0,4673.0,0.0,26.1100006,17.3199997
TXS01,30.42047,-98.80332,2015-05-05,na,6272.0,4673.0,2.3800001,23.9699993,18.3099995
TXS01,30.42047,-98.80332,2015-05-06,na,6272.0,4673.0,0.0,28.2299995,19.2600002
TXS01,30.42047,-98.80332,2015-05-07,na,6272.0,4673.0,0.0,28.1900005,20.25
TXS01,30.42047,-98.80332,2015-05-08,na,6272.0,4673.0,6.7199998,25.4799995,20.8199997
TXS01,30.42047,-98.80332,2015-05-09,na,6272.0,4673.0,0.0,29.2099991,21.0
TXS01,30.42047,-98.80332,2015-05-10,na,6272.0,4673.0,0.0,27.9099998,21.1499996
TXS01,30.42047,-98.80332,2015-05-11,na,6272.0,4673.0,2.8900001,22.0799999,18.8700008
TXS01,30.42047,-98.80332,2015-05-12,na,6272.0,4673.0,6.6900001,18.5599995,15.46
TXS01,30.42047,-98.80332,2015-05-13,na,6272.0,4673.0,32.6800003,19.7700005,15.8100004
TXS01,30.42047,-98.80332,2015-05-14,na,6272.0,4673.0,8.4499998,28.5,17.25
TXS01,30.42047,-98.80332,2015-05-15,na,6272.0,4673.0,3.5,25.6299992,17.6299992
TXS01,30.42047,-98.80332,2015-05-16,na,6272.0,4673.0,27.8799992,28.5100002,18.0
TXS01,30.42047,-98.80332,2015-05-17,na,6272.0,4673.0,0.0,27.7800007,17.4799995
TXS01,30.42047,-98.80332,2015-05-18,na,6272.0,4673.0,0.0,30.5200005,19.7800007
TXS01,30.42047,-98.80332,2015-05-19,na,6272.0,4673.0,0.0,29.2700005,21.5699997
TXS01,30.42047,-98.80332,2015-05-20,na,6272.0,4673.0,36.6800003,30.2199993,19.7199993
TXS01,30.42047,-98.80332,2015-05-21,na,6272.0,4673.0,2.0,19.6599998,14.79
TXS01,30.42047,-98.80332,2015-05-22,na,6272.0,4673.0,4.4200001,24.2299995,14.9799995
